"config","seed","outcome","rides","earned","quota","fuel","time","legs","reason"
"baseline","1","GameOver","1","20","150","61","294","4","The passenger's need became uncontrollable."
"baseline","2","Success","4","201","150","47","315","8","completed"
"baseline","3","Success","4","250","150","28","298","8","completed"
"baseline","4","Success","5","237","150","36","201","10","completed"
"baseline","5","GameOver","2","83","150","44","344","6","The passenger's need became uncontrollable."
"baseline","6","GameOver","0","0","150","78","404","2","The passenger's need became uncontrollable."
"baseline","7","Success","4","264","150","14","186","8","completed"
"baseline","8","GameOver","0","0","150","94","448","2","The passenger's need became uncontrollable."
"baseline","9","Success","4","235","150","24","265","8","completed"
"baseline","10","GameOver","0","0","150","76","414","2","The passenger's need became uncontrollable."
"baseline","11","GameOver","1","34","150","39","268","4","The passenger's need became uncontrollable."
"baseline","12","Success","4","208","150","33","308","8","completed"
"baseline","13","GameOver","2","52","150","45","107","5","Hidden Rule Violated!"
"baseline","14","GameOver","0","0","150","76","418","2","The passenger's need became uncontrollable."
"baseline","15","Success","4","203","150","51","326","8","completed"
"studied","1","GameOver","1","20","150","61","294","4","The passenger's need became uncontrollable."
"studied","2","Success","4","230","150","35","307","8","completed"
"studied","3","Success","4","250","150","28","298","8","completed"
"studied","4","Success","5","237","150","36","201","10","completed"
"studied","5","GameOver","2","95","150","44","344","6","The passenger's need became uncontrollable."
"studied","6","GameOver","0","0","150","78","404","2","The passenger's need became uncontrollable."
"studied","7","Success","3","212","150","17","258","6","completed"
"studied","8","GameOver","0","0","150","94","448","2","The passenger's need became uncontrollable."
"studied","9","Success","4","251","150","24","265","8","completed"
"studied","10","Success","2","212","150","54","362","4","completed"
"studied","11","GameOver","1","34","150","39","268","4","The passenger's need became uncontrollable."
"studied","12","Success","4","208","150","33","308","8","completed"
"studied","13","GameOver","2","52","150","45","107","5","Hidden Rule Violated!"
"studied","14","GameOver","0","0","150","76","418","2","The passenger's need became uncontrollable."
"studied","15","Success","4","203","150","51","326","8","completed"
"mastered","1","Success","4","218","150","47","297","8","completed"
"mastered","2","Success","4","203","150","39","247","8","completed"
"mastered","3","Success","3","209","150","47","264","6","completed"
"mastered","4","Success","3","232","150","58","308","6","completed"
"mastered","5","GameOver","0","0","150","94","456","2","The passenger's need became uncontrollable."
"mastered","6","Success","3","208","150","64","288","6","completed"
"mastered","7","Success","3","229","150","46","296","6","completed"
"mastered","8","Success","4","248","150","47","144","8","completed"
"mastered","9","Success","2","228","150","79","404","4","completed"
"mastered","10","Success","1","221","150","82","414","2","completed"
"mastered","11","Success","3","266","150","48","226","6","completed"
"mastered","12","Success","1","227","150","88","397","2","completed"
"mastered","13","GameOver","2","120","150","60","219","6","The passenger's need became uncontrollable."
"mastered","14","Success","3","229","150","59","332","6","completed"
"mastered","15","Success","3","292","150","56","317","6","completed"
