"Tier","Seed","Night","CampaignComplete","Modifier","Rides","Earnings","Quota","FuelEnd","TimeEnd","WardsEnd","FailureCause","Reason","HighestFareShare","Routes","Fares"
"baseline","1","1","False","None","2","42","150","35","321","0","violation","You cleaned the windshield and gave the thing behind the smear a clear look back. You wiped the glass clear and met what had been pressed against it.","0.5714","Normal;Shortcut;Scenic;Police;Normal","1:18;3:24"
"baseline","2","1","False","None","7","78","150","39","17","3","time","You could not make the next leg. The shift ends where it stands.","0.7051","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","3:55;13:28;8:15;9:22;1:18;2:7;6:5"
"baseline","3","1","False","None","4","75","150","29","124","0","meltdown","The passenger's need became uncontrollable.","0.5467","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","2:17;10:41;6:5;1:24"
"baseline","4","1","False","None","6","241","150","6","136","3","success","completed","0.278","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police","8:18;14:67;3:34;1:16;2:24;7:56"
"baseline","4","2","False","None","3","85","225","30","274","3","meltdown","The passenger's need became uncontrollable.","0.5882","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police","1:27;7:50;13:8"
"baseline","5","1","False","None","1","15","150","55","360","0","meltdown","The passenger's need became uncontrollable.","1","Normal;Shortcut;Scenic;Police","1:15"
"baseline","6","1","False","None","2","49","150","40","344","0","violation","Dispatch routes exist for a reason. The shadows were waiting off-grid.","0.5714","Normal;Shortcut;Scenic;Police;Normal","9:28;4:21"
"baseline","7","1","False","None","2","44","150","51","325","0","violation","You changed air that wasn't yours to move. It moved back. You forced the air and something reached through the vents to answer.","0.6364","Normal;Shortcut;Scenic;Police;Normal","8:16;13:28"
"baseline","8","1","False","None","1","39","150","51","221","0","meltdown","The passenger's need became uncontrollable.","1","Normal;Shortcut;Scenic;Police","2:39"
"baseline","9","1","False","None","3","77","150","36","201","0","violation","Breaking the silence invited a chorus of voices you cannot silence. The song acted as a beacon for the wrong audience.","0.4286","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","4:33;12:27;9:29"
"baseline","10","1","False","None","3","73","150","27","131","0","violation","You cleaned the windshield and gave the thing behind the smear a clear look back. You wiped the glass clear and met what had been pressed against it.","0.3973","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","2:25;4:19;9:29"
"baseline","11","1","False","None","0","0","150","79","427","0","misread","Wrong choice regarding ""Keep All Windows Sealed"" - misread the passenger","0","Normal;Shortcut",""
"baseline","12","1","False","None","1","38","150","73","402","0","violation","You changed air that wasn't yours to move. It moved back. You forced the air and something reached through the vents to answer.","1","Normal;Shortcut;Scenic","3:38"
"baseline","13","1","False","None","4","111","150","42","106","0","violation","You drove into blindness on purpose. Something in it had been waiting for exactly that. You killed the lights and the dark poured into the space they held.","0.4505","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal","8:15;10:38;3:50;1:32"
"baseline","14","1","False","None","1","14","150","53","321","0","meltdown","The passenger's need became uncontrollable.","1","Normal;Shortcut;Scenic;Police","13:14"
"baseline","15","1","False","None","7","210","150","12","30","1","success","completed","0.2286","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","9:24;4:17;2:44;10:37;8:21;1:29;3:48"
"baseline","15","2","False","None","6","134","225","50","72","0","hidden-rule","Hidden Rule Violated!
Stopping in bad weather during the witching hour was a mistake...","0.3731","Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","2:12;4:50;6:22;1:26;10:40;9:20"
"comfort","1","1","False","None","7","84","150","17","9","0","time","You could not make the next leg. The shift ends where it stands.","0.4405","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic","1:21;3:21;9:37;8:20;6:5;2:12;7:16"
"comfort","2","1","False","None","7","80","150","42","20","0","time","You could not make the next leg. The shift ends where it stands.","0.6875","Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut;Scenic;Police;Normal;Shortcut","3:55;8:18;6:5;4:23;1:18;9:22;10:11"
"comfort","3","1","False","None","0","0","150","83","405","0","misread","Wrong choice regarding ""Never Take Unscheduled Shortcuts"" - misread the passenger","0","Normal;Shortcut",""
